Gene_name	filter
COL5A1	+
RSPH9	+
RBMX	+
TCF21	+
KCNE1	+
CDKN2D	+
G6PC3	+
POLR1C	+
OTOG	+
EIF4A3	+
FOXC1	+
GPX1	+
NKX3-2	+
HAAO	+
POGZ	+
EPHB1	+
RAB23	+
LEMD3	+
SERAC1	+
SLC4A1	+
DNAJC21	+
EYA4	+
SEMA3E	+
CLCNKB	+
DHODH	+
KIT	+
CA2	+
FIGN	+
MYO1F	+
PAX2	+
FLNB	+
UQCRFS1	+
TBL1X	+
PET100	+
SLC29A3	+
KCNMA1	+
ACO2	+
DNAAF4	+
ECE1	+
NTF3	+
PLEK	+
CASK	+
NAV2	+
JAG2	+
TSHR	+
OTX1	+
MN1	+
CNRIP1	+
ANOS1	+
NARS2	+
CHSY1	+
LOXHD1	+
PROP1	+
PEX1	+
COL9A1	+
OTOR	+
TBC1D24	+
GRXCR2	+
CD151	+
PIK3C2A	+
GSTM1	+
COL11A2	+
FANCF	+
AXIN1	+
FGF3	+
BDNF	+
SLITRK6	+
MAP3K7	+
CHST14	+
LRP2	+
NTRK3	+
FZD6	+
SPRY2	+
MPZ	+
REST	+
MRPS2	+
CCDC114	+
DCHS1	+
BMP4	+
RSPH4A	+
CDT1	+
PLOD3	+
COL1A2	+
SUCLA2	+
COL4A3	+
GPC4	+
HOXB1	+
AP1B1	+
LMX1A	+
SQSTM1	+
EXOSC8	+
KAT6B	+
DNMT1	+
ATP1A2	+
SALL4	+
RSPH1	+
OFD1	+
BBS1	+
SLC4A11	+
COA8	+
PIGB	+
SEC31A	+
KCNJ11	+
GFER	+
MET	+
UBR1	+
PJVK	+
KDM6A	+
GAS8	+
TJP2	+
SLC10A7	+
SGPL1	+
CNOT1	+
COL4A5	+
CEMIP	+
NCAPG2	+
ALDH1A2	+
DNAAF5	+
ADGRV1	+
CCDC39	+
POLG	+
GJB4	+
CCBE1	+
SNAI2	+
COL4A4	+
RECQL4	+
NTN1	+
ITGA8	+
LARGE1	+
CEACAM16	+
ACTG1	+
COL5A2	+
ARSB	+
SCD5	+
USH1G	+
DHX16	+
BSN	+
CDKN1B	+
MARVELD2	+
S1PR2	+
SLC12A6	+
MTAP	+
BLOC1S6	+
DNAI2	+
MATR3	+
FLNA	+
LHX3	+
COX10	+
ESR2	+
RNASET2	+
AIFM1	+
COCH	+
GMPPB	+
ACAN	+
PRDM5	+
FANCL	+
GRHL2	+
DMD	+
POLR1A	+
P2RX2	+
ERAL1	+
ERCC1	+
COL9A3	+
LRTOMT	+
SCRIB	+
CACNA1D	+
COG4	+
WHRN	+
OTOF	+
PGM3	+
PPIP5K2	+
CRYL1	+
SPZ1	+
PAX3	+
COL11A1	+
FGFR2	+
IL17RD	+
LRRC56	+
EYA1	+
EDNRB	+
DVL2	+
MYO15A	+
GJB2	+
TRIOBP	+
SLC9A1	+
LMNA	+
DVL3	+
DUOX2	+
SLC6A13	+
BMP5	+
COL2A1	+
DIAPH3	+
TRRAP	+
USH2A	+
DMXL2	+
GSTP1	+
RARB	+
ACTB	+
SERPINB6	+
TECTB	+
PTH1R	+
SLC4A7	+
ESPN	+
EXOSC2	+
FOXI1	+
SRP72	+
TPRN	+
XPC	+
GRXCR1	+
CCDC50	+
CACNG2	+
GFI1	+
DNAI1	+
DCAF17	+
MASP1	+
PNOC	+
LRP5	+
COL1A1	+
GJB3	+
KIF22	+
CHD4	+
PBX1	+
PCDH15	+
SPATA5	+
POLR1D	+
PTPN14	+
IGSF3	+
AP3D1	+
CATSPER2	+
ARMC4	+
SLC52A3	+
SYNJ2	+
OTOA	+
TRPV4	+
SLC19A2	+
FANCI	+
GRID1	+
HMX1	+
HGSNAT	+
SLC22A4	+
MYO7A	+
TWSG1	+
CDC14A	+
ESRP1	+
CDK5RAP2	+
GATA2	+
HSD17B4	+
EEF1AKNMT	+
ERCC4	+
SLC26A5	+
SLC12A7	+
FGFR3	+
CPLX1	+
PCDH9	+
CLRN1	+
JAG1	+
ABR	+
BCR	+
EPHB3	+
TGFA	+
MTHFD1	+
HOXA1	+
THRB	+
YME1L1	+
FAT4	+
GSDME	+
SLX4	+
FBXO2	+
EPS8L2	+
PNPT1	+
CLPP	+
MPZL2	+
FANCE	+
FREM2	+
TSR2	+
IFT88	+
NOX3	+
EFTUD2	+
QRSL1	+
STRC	+
ATP1A3	+
ADCY1	+
LAMA2	+
OC90	+
LOXL3	+
PHEX	+
CHRNA9	+
DVL1	+
SPNS2	+
USH1C	+
DNAAF2	+
HAL	+
GLI3	+
HOMER2	+
PPP3R1	+
DIO2	+
MRPS7	+
SPTBN4	+
LRRC6	+
TNFSF11	+
ATP6V0A4	+
PTK7	+
MYO3A	+
NOTCH1	+
CCNO	+
TMIE	+
RDX	+
WDR37	+
ALMS1	+
DLX2	+
MAN2B1	+
CLCNKA	+
NR4A3	+
KDM3B	+
PLS1	+
SLC30A4	+
TSHZ1	+
CRYM	+
NEUROD1	+
NTRK2	+
KCNQ4	+
ADK	+
SPINK5	+
ATP6V1B1	+
DDX11	+
CLCN7	+
NLRP3	+
DSPP	+
TMEM67	+
COL9A2	+
FDXR	+
ZMYND10	+
PHYH	+
DNAH5	+
DNAH11	+
TRMU	+
ESRRB	+
PDZD7	+
EPS8	+
DUSP6	+
CCDC40	+
NIPBL	+
PLCB4	+
TXNL4A	+
TMEM132E	+
LARS2	+
CACNB2	+
FANCC	+
KCNQ1	+
MKKS	+
BBS4	+
SLC17A8	+
NME8	+
DDR1	+
FTO	+
IFNLR1	+
LRIG3	+
DNAAF1	+
PTPN11	+
RSPO1	+
EZH2	+
FLRT3	+
CHD7	+
FRAS1	+
KMT2D	+
GMPPA	+
EDNRA	+
POLD1	+
PDE1C	+
SUMF1	+
SIX1	+
DCDC2	+
COLEC11	+
ORC4	+
SOX10	+
AHDC1	+
RASA1	+
LONP1	+
CLDN14	+
SLC33A1	+
WIF1	+
ABCC1	+
MAF	+
WFS1	+
SDHD	+
MSX2	+
ITM2B	+
RIPOR2	+
CDC6	+
SBF2	+
PRPS1	+
SLC12A2	+
TBX1	+
GSC	+
GPSM2	+
CABP2	+
ECM1	+
HMX3	+
CTSA	+
HSPA9	+
TMPRSS5	+
TMC1	+
MYO6	+
CEP78	+
MCOLN3	+
PUS7	+
ILDR1	+
MYH9	+
ELMOD3	+
GUSB	+
HES5	+
EPHB2	+
ABHD5	+
OTOP1	+
FANCA	+
ERCC2	+
CKB	+
EPG5	+
MYO1A	+
OTOGL	+
TUB	+
CEP250	+
RNF13	+
HECTD3	+
SYNE4	+
ATP5MF	+
USP48	+
ERCC6	+
TECTA	+
MSRB3	+
MIR182	+
TNFRSF11A	+
ABHD12	+
TP63	+
TIMMDC1	+
COL4A6	+
GRAP	+
BSND	+
